area,price,postDate,land_certificate,house_direction,balcony_direction,toilet,bedroom,floor,lat,long,property_type
50,14700,44197,So do,,,4,6,6,21.0156983,105.8245833,trong ngo
57,4200,44265,So do,Nam,Nam,3,8,4,21.025208,105.833111,trong ngo
62,11000,44268,So do,,dong-Nam,6,5,6,21.0253793,105.8010114,trong ngo
26,2900,44292,So do,,,4,3,4,21.0143249,105.8349181,trong ngo
40,3950,44292,So do,,,,,5,21.0098623,105.8380829,trong ngo
41,8900,44292,,dong-Nam,,,3,7,21.0123103,105.8289783,trong ngo
39,5280,44292,So do,Tay-Nam,,3,4,4,21.0216521,105.8010406,trong ngo
52.2,5376.6,44292,So do,Tay-Bac,Tay-Bac,1,2,3,21.0190779,105.8192589,trong ngo
75,1800,44197,So do,,,2,2,,21.0225776,105.8318544,trong ngo
100,2400,44197,So do,,,2,3,,21.0170062,105.8150862,trong ngo
70,2000,44197,So do,,,1,2,,21.0210979,105.8087914,trong ngo
70,1800,44197,So do,,,2,2,,21.0067122,105.8205443,trong ngo
110,2600,44197,So do,,,2,2,,21.0080687,105.8272621,trong ngo
40,1180,44197,So do,,,1,1,,21.0235829,105.8052281,trong ngo
65,1350,44197,So do,,,1,2,,20.9984988,105.8376899,trong ngo
39,3800,44197,So do,,,3,4,,21.0157955,105.8282941,trong ngo
120,3450,44197,So do,,,1,2,,21.0080687,105.8272621,trong ngo
50,1800,44197,So do,,,1,2,,21.0216521,105.8010406,trong ngo
72,1750,44197,So do,,,1,2,,21.0051976,105.8355164,trong ngo
100,2200,44197,So do,,,2,3,,21.0051976,105.8355164,trong ngo
110,2400,44197,So do,,,,,,21.0075479,105.8282237,trong ngo
42,1290,44197,So do,,,1,1,,21.0289054,105.830685,trong ngo
52,1600,44197,So do,,,1,2,,21.0067122,105.8205443,trong ngo
62,1700,44197,So do,,,1,2,,21.0203116,105.8083282,trong ngo
47,6500,44197,So do,,,3,4,,21.0044301,105.8278363,trong ngo
92,2450,44197,So do,,,1,3,,21.0080687,105.8272621,trong ngo
40,1300,44197,So do,,,2,2,,21.0047296,105.8334331,trong ngo
68,1850,44197,So do,,,1,2,,21.0156395,105.8123717,trong ngo
105,2400,44197,So do,,,2,2,,21.0170062,105.8150862,trong ngo
28,850,44197,So do,,,1,1,,21.0216521,105.8010406,trong ngo
42,1170,44197,So do,,,1,1,,21.0066938,105.8356348,trong ngo
45,1250,44197,So do,,,1,1,,21.0066938,105.8356348,trong ngo
43,1200,44197,So do,,,1,1,,21.0104478,105.8184384,trong ngo
210,4200,44197,So do,,,2,3,,21.0012748,105.8393044,trong ngo
55,1630,44197,So do,,,1,2,,21.0051976,105.8355164,trong ngo
50,3500,44197,So do,,,1,1,,21.0129876,105.8200121,trong ngo
72,1600,44197,So do,,,1,3,,21.0216521,105.8010406,trong ngo
120,8200,44197,So do,,,2,2,,21.011875,105.8317303,trong ngo
62,1600,44197,So do,,,1,2,,21.0253784,105.8272979,trong ngo
35,900,44197,So do,,,1,1,,21.0012748,105.8393044,trong ngo
70,3200,44197,So do,,,2,4,,21.0097394,105.824782,trong ngo
65,2050,44197,So do,,,1,2,,21.0012748,105.8393044,trong ngo
35,890,44197,So do,,,1,1,,21.0051976,105.8355164,trong ngo
32,1350,44197,So do,,,1,1,,21.0012748,105.8393044,trong ngo
55,1550,44197,So do,,,1,2,,21.0268209,105.8258448,trong ngo
65,1600,44197,So do,,,1,2,,21.0066938,105.8356348,trong ngo
35,1300,44197,So do,,,1,1,,21.026246,105.8325863,trong ngo
65,1950,44197,So do,,,1,2,,21.0084004,105.8337772,trong ngo
75,2950,44197,So do,,,2,2,,21.0012748,105.8393044,trong ngo
100,3900,44197,So do,,,2,3,,21.0151077,105.8385705,trong ngo
25,550,44197,So do,,,1,3,,21.0240516,105.8343155,trong ngo
77,1950,44197,So do,,,2,2,,21.0012748,105.8393044,trong ngo
100,2600,44197,So do,,,2,2,,21.0268209,105.8258448,trong ngo
110,2400,44197,So do,,,,,,21.0075479,105.8282237,trong ngo
50,1780,44197,So do,,,3,3,,21.0268209,105.8258448,trong ngo
30,2100,44197,So do,,,,,,21.0217916,105.8350013,trong ngo
22,450,44197,So do,,,1,1,,21.0051976,105.8355164,trong ngo
52,1900,44197,So do,,,1,2,,21.0239665,105.8307424,trong ngo
70,2100,44197,So do,,,1,5,,21.0084004,105.8337772,trong ngo
70,1730,44197,So do,,,1,2,,21.0022945,105.829711,trong ngo
62,2080,44197,So do,,,1,2,,21.0268209,105.8258448,trong ngo
42,1450,44197,So do,,,1,2,,21.0170062,105.8150862,trong ngo
80,4000,44197,So do,,,2,2,,21.0066938,105.8356348,trong ngo
90,2300,44197,So do,,,2,3,,21.0066938,105.8356348,trong ngo
70,2100,44197,So do,,,,,,21.0170062,105.8150862,trong ngo
52,1300,44197,So do,,,1,1,,21.0012748,105.8393044,trong ngo
50,1700,44197,So do,,,1,1,,21.0189953,105.8386116,trong ngo
80,2000,44197,So do,,,1,3,,21.0216521,105.8010406,trong ngo
47,1490,44197,So do,,,1,1,,21.0047296,105.8334331,trong ngo
52,1500,44197,So do,,,1,2,,21.0203116,105.8083282,trong ngo
45,1330,44197,So do,,,1,1,,21.0235829,105.8052281,trong ngo
130,2600,44197,So do,,,3,3,,21.0253784,105.8272979,trong ngo
33,3100,44197,,,,,,,21.0180725,105.8299495,trong ngo
51,6100,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
33,3100,44197,,,,,,,21.0180725,105.8299495,trong ngo
55,6000,44197,,,,,,,21.0180725,105.8299495,trong ngo
42,7250,44197,,,,,,,21.0180725,105.8299495,trong ngo
46,3900,44197,,,,,,,21.0180725,105.8299495,trong ngo
90,15500,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,1500,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
41,5000,44197,,,,,,,21.0180725,105.8299495,trong ngo
38,4200,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,3600,44197,,,,,,,21.0180725,105.8299495,trong ngo
30,,44197,,,,,,,21.0180725,105.8299495,trong ngo
30,,44197,,,,,,,21.0180725,105.8299495,trong ngo
32,3150,44197,,,,,,,21.0180725,105.8299495,trong ngo
41,7400,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,3800,44197,,,,,,,21.0180725,105.8299495,trong ngo
50,10000,44197,,,,,,,21.0180725,105.8299495,trong ngo
32,2650,44197,,,,,,,21.0180725,105.8299495,trong ngo
38,4200,44197,,,,,,,21.0180725,105.8299495,trong ngo
32,3150,44197,,,,,,,21.0180725,105.8299495,trong ngo
45,4200,44197,,,,,,,21.0180725,105.8299495,trong ngo
33,3100,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,3200,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
60,9300,44197,,,,,,,21.0180725,105.8299495,trong ngo
71,23000,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
45,4500,44197,,,,,,,21.0180725,105.8299495,trong ngo
25,2900,44197,,,,,,,21.0180725,105.8299495,trong ngo
56,6500,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,4200,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,2350,44197,,,,,,,21.0180725,105.8299495,trong ngo
52,8400,44197,,,,,,,21.0180725,105.8299495,trong ngo
45,,44197,,,,,,,21.0180725,105.8299495,trong ngo
45,4500,44197,,,,,,,21.0180725,105.8299495,trong ngo
30,2750,44197,,,,,,,21.0180725,105.8299495,trong ngo
32,3150,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
20,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
52,4800,44197,,,,,,,21.0180725,105.8299495,trong ngo
48,14500,44197,,,,,,,21.0180725,105.8299495,trong ngo
35,4350,44197,,,,,,,21.0180725,105.8299495,trong ngo
33,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
52,3800,44197,,,,,,,21.0180725,105.8299495,trong ngo
45,9300,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,7400,44197,,,,,,,21.0180725,105.8299495,trong ngo
53,3750,44197,,,,,,,21.0180725,105.8299495,trong ngo
35,4350,44197,,,,,,,21.0180725,105.8299495,trong ngo
39,10500,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
25,2450,44197,,,,,,,21.0180725,105.8299495,trong ngo
21,2450,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
64,7700,44197,,,,,,,21.0180725,105.8299495,trong ngo
40,3800,44197,,,,,,,21.0180725,105.8299495,trong ngo
39,4300,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,1100,44197,,,,,,,21.0180725,105.8299495,trong ngo
25,2900,44197,,,,,,,21.0180725,105.8299495,trong ngo
48,4350,44197,,,,,,,21.0180725,105.8299495,trong ngo
46,3850,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,3800,44197,,,,,,,21.0180725,105.8299495,trong ngo
34,6500,44197,,,,,,,21.0180725,105.8299495,trong ngo
48,6100,44197,,,,,,,21.0180725,105.8299495,trong ngo
27,2000,44197,,,,,,,21.0180725,105.8299495,trong ngo
26,3300,44197,,,,,,,21.0180725,105.8299495,trong ngo
50,6700,44197,,,,,,,21.0180725,105.8299495,trong ngo
42,,44197,,,,,,,21.0180725,105.8299495,trong ngo
51,3400,44197,,,,,,,21.0180725,105.8299495,trong ngo
20,2250,44197,,,,,,,21.0180725,105.8299495,trong ngo
35,4350,44197,,,,,,,21.0180725,105.8299495,trong ngo
32,3150,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,3500,44197,,,,,,,21.0180725,105.8299495,trong ngo
34,3400,44197,,,,,,,21.0180725,105.8299495,trong ngo
40,7000,44197,,,,,,,21.0180725,105.8299495,trong ngo
35,5300,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,9400,44197,,,,,,,21.0180725,105.8299495,trong ngo
60,6300,44197,,,,,,,21.0180725,105.8299495,trong ngo
69,4700,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,1990,44197,,,,,,,21.0180725,105.8299495,trong ngo
14,1480,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
45,4200,44197,,,,,,,21.0180725,105.8299495,trong ngo
75,9500,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,1900,44197,,,,,,,21.0180725,105.8299495,trong ngo
36,3600,44197,,,,,,,21.0180725,105.8299495,trong ngo
60,8900,44197,,,,,,,21.0180725,105.8299495,trong ngo
30,,44197,,,,,,,21.0180725,105.8299495,trong ngo
82,5750,44197,,,,,,,21.0180725,105.8299495,trong ngo
80,,44197,,,,,,,21.0180725,105.8299495,trong ngo
80,,44197,,,,,,,21.0180725,105.8299495,trong ngo
40,6600,44197,,,,,,,21.0180725,105.8299495,trong ngo
31,2750,44197,,,,,,,21.0180725,105.8299495,trong ngo
41,7900,44292,,,,5,3,5,21.0089298,105.8241052,trong ngo
60,3600,44292,So do,,,4,4,4,21.0172878,105.8364112,trong ngo
20,2250,44197,,,,,,,21.0180725,105.8299495,trong ngo
35,4350,44197,,,,,,,21.0180725,105.8299495,trong ngo
33,3100,44197,,,,,,,21.0180725,105.8299495,trong ngo
38,6800,44197,,,,,,,21.0180725,105.8299495,trong ngo
45,4500,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
42.2,16500,44292,So do,,,,6,5,21.0190982,105.8097618,trong ngo
83,12000,44292,So do,,,2,3,3,21.004538,105.8330352,trong ngo
30,3500,44292,So do,,,4,3,4,21.0167222,105.8399236,trong ngo
80,5300,44292,So do,,,1,3,1,21.0278358,105.8247636,trong ngo
42,3950,44292,So do,,,,4,4,21.013056,105.8393263,trong ngo
140,34000,44292,So do,,,16,14,8,21.012183,105.8410907,trong ngo
70,11800,44292,So do,,,,5,3,21.0092389,105.8242302,trong ngo
60,12700,44292,,,,5,5,5,21.0092389,105.8242302,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,1680,44197,,,,,,,21.0180725,105.8299495,trong ngo
45,7600,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,1550,44197,,,,,,,21.0180725,105.8299495,trong ngo
34,3100,44197,,,,,,,21.0180725,105.8299495,trong ngo
50,6000,44292,So do,,,5,4,5,21.0092389,105.8242302,trong ngo
83,38000,44292,So do,,,,,8,21.0092389,105.8242302,trong ngo
34,4700,44292,So do,,,4,3,5,21.0295218,105.8273528,trong ngo
50,13500,44292,So do,,,,7,5,21.0195075,105.8057691,trong ngo
55,12800,44292,So do,,,,7,7,21.0092389,105.8242302,trong ngo
50,8600,44292,So do,,,3,3,4,21.0194469,105.8247259,trong ngo
100,11000,44292,So do,,,,5,4,21.0210979,105.8087914,trong ngo
35,4900,44292,So do,,,4,3,5,21.0240383,105.8026258,trong ngo
35,4900,44292,So do,Tay-Bac,,,3,4,21.0253793,105.8010114,trong ngo
62,10500,44292,So do,,,,10,5,21.0240383,105.8026258,trong ngo
47,4950,44292,,dong,,4,6,5,21.0216521,105.8010406,trong ngo
35,4500,44292,,,,,6,5,21.0089298,105.8241052,trong ngo
40,5700,44292,,,,,3,4,21.0295218,105.8273528,trong ngo
89,33500,44295,So do,,,5,5,5,21.0202589,105.8099247,trong ngo
89,33000,44295,So do,dong-Nam,,,,5,21.0202589,105.8099247,trong ngo
20,2100,44298,So do,,,2,3,4,21.0053431,105.825256,trong ngo
32,3300,44303,So do,,,,,3,21.0057491,105.8225012,trong ngo
36,5800,44303,,,,,,5,21.0058865,105.8331417,trong ngo
48,8500,44306,So do,,,,,6,21.0248712,105.8328825,trong ngo
45,6200,44306,,dong-Nam,dong-Nam,4,4,5,21.0092389,105.8242302,trong ngo
61,12500,44306,So do,dong-Nam,dong-Nam,4,6,5,21.0094101,105.8243074,trong ngo
40,2750,44306,So do,,,4,3,5,21.0225776,105.8318544,trong ngo
48.25,10500,44306,So do,,,4,6,5,21.0143249,105.8349181,trong ngo
37,3800,44306,So do,dong,dong,3,3,4,21.0128724,105.8331871,trong ngo
45,12000,44306,So do,,,6,5,6,21.0191836,105.8247236,trong ngo
180,36000,44306,So do,,,,4,2,21.0123103,105.8289783,trong ngo
40,3300,44306,So do,,,4,4,4,21.0128979,105.8354966,trong ngo
35,4500,44306,So do,,,3,3,5,21.0295218,105.8273528,trong ngo
25,2850,44306,,,,3,2,4,21.0268209,105.8258448,trong ngo
44,3850,44306,,,,,4,4,21.0089298,105.8241052,trong ngo
35,4250,44306,So do,Bac,Bac,4,3,5,21.0240383,105.8026258,trong ngo
30,8000,44306,So do,,,,3,7,21.0123103,105.8289783,trong ngo
300,48000,44306,,,,,,4,21.0092389,105.8242302,trong ngo
23,2950,44306,So do,,,3,3,4,21.019454,105.8385705,trong ngo
46,9000,44306,So do,,,,,5,21.0185208,105.830876,trong ngo
62,5390,44306,So do,,,3,4,4,21.0295218,105.8273528,trong ngo
60,10500,44306,So do,,,6,6,6,21.0164931,105.822814,trong ngo
62,6000,44306,So do,,,,6,5,21.0114953,105.8166664,trong ngo
56,15500,44306,So do,,,4,4,4,21.0092389,105.8242302,trong ngo
65,12800,44306,So do,Tay-Nam,,4,4,5,21.0092389,105.8242302,trong ngo
41,3100,44197,So do,,,1,2,,21.001965,105.8360369,trong ngo
77,9500,44197,,,,,,,21.0114953,105.8166664,trong ngo
60,5590,44306,So do,,,4,7,5,21.0092389,105.8242302,trong ngo
23,2200,44197,So do,Tay-Nam,,,,,21.0097394,105.824782,trong ngo
35,3450,44306,So do,,,,,4,21.0143249,105.8349181,trong ngo
55,8600,44306,So do,,,,,5,21.0146124,105.8192963,trong ngo
98,14000,44312,So do,,,,10,5,21.0092389,105.8242302,trong ngo
35,3550,44312,So do,,,4,5,4,21.0005493,105.8289847,trong ngo
92,34000,44312,So do,,,,10,8,21.0201687,105.8122505,trong ngo
45,8900,44312,So do,,,4,6,5,21.0210979,105.8087914,trong ngo
75,12000,44312,So do,,,4,4,4,21.0092389,105.8242302,trong ngo
44,8000,44312,So do,,,3,4,5,21.0092389,105.8242302,trong ngo
55,16000,44312,So do,,,,8,7,21.0092389,105.8242302,trong ngo
45,5750,44312,So do,,,,,4,21.0295218,105.8273528,trong ngo
36,7800,44312,So do,,,3,4,4,21.0158112,105.8240289,trong ngo
36,4300,44312,So do,,,,3,4,21.0223143,105.8265862,trong ngo
110,8800,44312,So do,,,,6,3,21.0116809,105.8325342,trong ngo
40,6000,44312,So do,,,,,5,21.0092389,105.8242302,trong ngo
35,18600,44312,,,,4,6,5,21.0092389,105.8242302,trong ngo
90,26500,44312,So do,,,,14,8,21.0234132,105.8197372,trong ngo
60,6900,44312,,,,,12,7,21.0210979,105.8087914,trong ngo
54,7020,44312,,,,,,1,21.0183528,105.8113313,trong ngo
40,8500,44312,So do,,,,,5,21.0092389,105.8242302,trong ngo
60,12800,44197,,,,,6,,21.0209326,105.8298594,trong ngo
30,7500,44312,So do,,,,,4,21.0092389,105.8242302,trong ngo
98,14300,44312,So do,,,4,4,4,21.0295218,105.8273528,trong ngo
57,9200,44312,So do,,,,,2,21.0104478,105.8184384,trong ngo
97,18000,44312,So do,,,4,4,5,21.0072182,105.8211644,trong ngo
29,2700,44312,So do,,,3,3,4,21.0242505,105.8326034,trong ngo
50,7200,44312,So do,,,10,10,6,21.0216521,105.8010406,trong ngo
61,9000,44312,So do,,,6,6,7,21.0022646,105.8227453,trong ngo
52,6800,44312,,,,,,5,21.0114953,105.8166664,trong ngo
25,3100,44312,So do,,,3,3,4,21.0289833,105.8297637,trong ngo
72,7900,44312,So do,,,3,4,4,21.0114953,105.8166664,trong ngo
47,4300,44312,So do,,,4,4,5,21.01769,105.831438,trong ngo
35,3900,44312,So do,,,,,4,21.013056,105.8393263,trong ngo
39,9500,44312,So do,,,,,7,21.0123103,105.8289783,trong ngo
40,12800,44312,,,,,,5,21.0156983,105.8245833,trong ngo
50,14600,44312,So do,Tay-Nam,Tay-Nam,4,6,4,21.016075,105.824436,trong ngo
81,15200,44312,So do,,,,,4,21.0145399,105.8073276,trong ngo
50,4800,44312,So do,,,7,6,5,21.0216521,105.8010406,trong ngo
71,15500,44312,So do,,,5,8,6,21.0195075,105.8057691,trong ngo
68,16000,44312,So do,,,4,5,5,21.0158112,105.8240289,trong ngo
28,2800,44312,So do,,,4,3,5,21.0099705,105.8311716,trong ngo
56,9500,44312,So do,,,4,3,5,21.0119863,105.8172464,trong ngo
20,1400,44312,So do,,,3,3,4,21.0225776,105.8318544,trong ngo
45,7900,44312,,,,4,3,5,21.0089298,105.8241052,trong ngo
35,6900,44312,So do,,,,3,5,20.9984988,105.8376899,trong ngo
70,13000,44312,So do,,,,,5,21.0057491,105.8225012,trong ngo
,,44197,,,,,,,21.0187769,105.8300914,trong ngo
45,1800,44197,So do,,,1,1,,21.0199225,105.8414071,trong ngo
46,8800,44312,,,,,3,7,21.0008727,105.8289214,trong ngo
35,7990,44197,So do,dong-Bac,,,,,21.0210979,105.8087914,trong ngo
30,3300,44197,So do,Nam,Nam,,,,21.022491,105.8371026,trong ngo
34,5500,44312,So do,,,,3,5,21.004538,105.8330352,trong ngo
62,16300,44312,So do,,,,,5,21.0164931,105.822814,trong ngo
80,11400,44312,So do,,,,,4,21.0230427,105.8213153,trong ngo
41,5600,44312,,,,,,3,21.011875,105.8317303,trong ngo
35,2200,44312,So do,dong-Nam,,4,4,4,21.0235738,105.8358558,trong ngo
55,6100,44312,So do,,,,,2,21.0098577,105.8189633,trong ngo
51,,44312,So do,,,,,4,21.0164931,105.822814,trong ngo
46,8700,44312,So do,,,,,5,21.0203116,105.8083282,trong ngo
45,,44312,So do,,,,,6,21.0183528,105.8113313,trong ngo
67,9500,44312,So do,,,4,4,3,21.0072182,105.8211644,trong ngo
84,34600,44312,So do,,,8,8,8,21.0092389,105.8242302,trong ngo
67,8000,44197,,,,,,,21.0180725,105.8299495,trong ngo
36,2850,44312,So do,,,4,4,4,21.0187769,105.8300914,trong ngo
58,8600,44312,So do,,,4,6,4,21.0203116,105.8083282,trong ngo
85,34000,44312,So do,,,8,8,8,21.0177995,105.8105723,trong ngo
45,16500,44312,So do,dong-Nam,dong-Nam,,6,5,21.0186576,105.810709,trong ngo
55,10300,44197,,,,,,,21.0180725,105.8299495,trong ngo
0,,44197,,,,,,,21.0180725,105.8299495,trong ngo
43,8300,44197,,,,,,,21.0180725,105.8299495,trong ngo
43,5500,44197,,,,,,,21.0180725,105.8299495,trong ngo
110,42000,44312,,,,,,11,21.0164931,105.822814,trong ngo
65,16000,44312,So do,,,,,5,21.0200535,105.8246266,trong ngo
40,5000,44312,So do,,,,,6,21.0114953,105.8166664,trong ngo
46,8350,44312,So do,,,,6,5,21.0185109,105.8078831,trong ngo
52,1460,44197,So do,,,1,2,,21.0066938,105.8356348,trong ngo
45,5500,44197,,,,,,,21.0180725,105.8299495,trong ngo
85,34200,44312,So do,,,12,12,8,21.0201687,105.8122505,trong ngo
55,,44312,So do,,,,,7,21.0203116,105.8083282,trong ngo
35,1050,44197,So do,,,1,1,,21.0012748,105.8393044,trong ngo
115,25000,44312,So do,,,,5,5,21.0234132,105.8197372,trong ngo
30,2900,44312,So do,,,2,1,2,21.0022646,105.8227453,trong ngo
55,6100,44312,So do,,,,,2,21.0082189,105.8237484,trong ngo
25,3250,44312,So do,,,4,3,5,21.0289833,105.8297637,trong ngo
55,15000,44312,,,,,,6,21.0092389,105.8242302,trong ngo
90,25500,44312,So do,dong-Nam,,5,4,5,21.0200654,105.8087914,trong ngo
65,12500,44312,So do,,,,,5,21.0092389,105.8242302,trong ngo
48,4650,44312,So do,,,,3,5,21.0145487,105.8212321,trong ngo
45,8800,44312,So do,,,,5,7,21.0123103,105.8289783,trong ngo
72,7900,44312,So do,,,3,4,4,21.0114953,105.8166664,trong ngo
35,4300,44312,So do,,,4,6,4,21.0115303,105.8368631,trong ngo
