pk_shop,date_collected,shopid,name,join_month,join_day,join_year,item_count,follower_count,response_time,response_rate,shop_location,rating_bad,rating_good,rating_normal,rating_star,is_shopee_verified,is_official_shop
20210613254711738,2021-06-13,254711738,hello.may.ph,April,27,2020,446,17487, 10:13:55,96,,181,17510,729,4.81,1,0
20210613314198143,2021-06-13,314198143,love.women.shop,September,25,2020,263,8574, 10:43:05,73,"San Nicolas,Metro Manila",78,2656,198,4.68,0,0
2021061310377223,2021-06-13,10377223,R&O RedOrange,September,27,2016,209,660417, 08:32:07,90,"Pasay City,Metro Manila",4647,1071829,18073,4.91,1,0
2021061321407329,2021-06-13,21407329,patriciacai,April,30,2017,165,18787, 09:10:38,94,"Binondo,Metro Manila",44,18959,215,4.94,1,0
2021061311187885,2021-06-13,11187885,Little Market Manila,October,18,2016,467,67371, 11:40:59,89,"Caloocan City,Metro Manila",680,39252,2383,4.73,1,0
20210613430999411,2021-06-13,430999411,Bellamy House,April,26,2021,115,41, 12:33:58,29,,0,2,0,5.0,0,0
20210613310915998,2021-06-13,310915998,Yihua Women's Wear Hall,September,17,2020,219,30480, 11:00:46,92,,87,16460,408,4.87,1,0
20210613126018720,2021-06-13,126018720,croptop korean top dress,February,12,2019,1444,72704, 11:03:13,95,,354,22350,962,4.8,1,0
20210613312874722,2021-06-13,312874722,Shopping Center boutique,September,22,2020,286,110539, 10:14:49,76,"San Nicolas,Metro Manila",679,28651,2027,4.7,1,0
2021061336754442,2021-06-13,36754442,KathrynClothing,September,30,2017,509,478893, 09:41:23,85,"Taytay,Rizal",4524,217241,10071,4.76,0,0
20210613147240166,2021-06-13,147240166,88jackshop,May,14,2019,225,2413, 08:55:06,77,"Caloocan City,Metro Manila",21,759,70,4.65,0,0
2021061349777615,2021-06-13,49777615,terno pants Infinity dress,December,26,2017,360,153661, 12:07:08,10,"Tondo I / Ii,Metro Manila",3960,178922,8576,4.76,0,0
2021061343841660,2021-06-13,43841660,peterang.999,November,17,2017,1517,63571, 11:57:43,61,"Tondo I / Ii,Metro Manila",809,104231,2070,4.89,0,0
2021061364909141,2021-06-13,64909141,ikon Bra Dress Crop top,April,13,2018,3630,195475, 10:43:46,99,,1809,99426,4793,4.77,0,0
2021061355610731,2021-06-13,55610731,Mark & Markuz,February,6,2018,16,5760, 11:46:01,67,"Candon City,Ilocos Sur",6,1926,25,4.92,0,0
2021061340071360,2021-06-13,40071360,IELGY Women's,October,24,2017,3838,77940, 09:36:00,100,,452,15596,1111,4.66,1,0
2021061336365595,2021-06-13,36365595,korean terno dress,September,27,2017,364,48181, 10:28:02,63,"Binondo,Metro Manila",2353,33468,3730,4.46,0,0
2021061320477406,2021-06-13,20477406,PinSan UnderWear,April,17,2017,215,517911, 08:05:48,94,"Binondo,Metro Manila",7797,608451,24896,4.81,1,0
20210613285493266,2021-06-13,285493266,HMFO Clo.,July,15,2020,34,19781, 10:13:30,92,"Cainta,Rizal",38,7053,155,4.89,1,0
20210613136836256,2021-06-13,136836256,GraBeYan PH,March,30,2019,118,72619, 10:03:06,99,"Pasay City,Metro Manila",289,49948,1234,4.88,1,0
2021061329167960,2021-06-13,29167960,BSCO SENIORITAS,July,30,2017,229,2837, 09:34:41,90,"San Pablo City,Laguna",4,632,9,4.91,0,0
20210613298717077,2021-06-13,298717077,Men's & Women's Clothing Store,August,19,2020,77,15552, 09:52:55,81,,269,5186,413,4.59,0,0
20210613365155177,2021-06-13,365155177,inza-Korean Top & Dress,December,29,2020,252,1267, 11:25:23,40,,1,139,6,4.87,0,0
20210613418672464,2021-06-13,418672464,xuxixi,April,7,2021,220,10180, 09:26:55,95,,5,1771,35,4.91,1,0
20210613311832009,2021-06-13,311832009,ItStyle PH,September,19,2020,10,351, 14:56:24,65,"San Mateo,Rizal",0,73,3,4.9,0,0
2021061312280641,2021-06-13,12280641,R Squared PH,November,12,2016,104,60753, 11:43:29,70,"Taytay,Rizal",299,29940,1050,4.84,1,0
20210613377783794,2021-06-13,377783794,Urban Fashion Hub,January,24,2021,169,6054, 13:09:38,50,"Tondo I / Ii,Metro Manila",13,1717,54,4.84,0,0
20210613140345020,2021-06-13,140345020,Empresas rtw,April,16,2019,111,4270, 11:14:33,58,"Binan City,Laguna",62,1088,120,4.51,0,0
20210613446245515,2021-06-13,446245515,DuoDUO Apparel Store,May,18,2021,128,495, 09:44:54,94,,1,9,1,4.27,0,0
20210613326225532,2021-06-13,326225532,Duolin Apparel Store,October,22,2020,247,30111, 08:35:40,100,,80,11561,213,4.9,1,0
20210613207276020,2021-06-13,207276020,sweetcandyapparel,December,8,2019,137,50164, 11:43:52,90,"Quezon City,Metro Manila",33,9520,173,4.9,1,0
20210613277581138,2021-06-13,277581138,John see way's shop.ph,June,24,2020,426,3256, 09:37:23,95,,13,734,26,4.79,0,0
2021061317325060,2021-06-13,17325060,joymarcelo_rtwclothing,March,1,2017,1117,363501, 11:03:30,81,"San Mateo,Rizal",2432,179465,6072,4.83,1,0
20210613262892165,2021-06-13,262892165,Ano Hanap?,May,16,2020,132,27588, 09:13:35,93,"Quezon City,Metro Manila",76,11471,330,4.87,0,0
2021061319100527,2021-06-13,19100527,Mumu,March,28,2017,293,1616152, 10:13:24,75,"Valenzuela City,Metro Manila",21494,3296136,61481,4.89,1,0
20210613299396535,2021-06-13,299396535,Pretty Comy Women Fashion,August,21,2020,550,66348, 10:40:12,90,,87,13607,339,4.88,0,0
20210613318520270,2021-06-13,318520270,Essentiel Manila,October,6,2020,261,47723, 08:28:44,100,"Angono,Rizal",29,6257,171,4.88,0,0
20210613149749719,2021-06-13,149749719,BSCOÂ® PH,May,23,2019,1096,91438, 11:45:05,53,"Sampaloc,Metro Manila",111,6648,248,4.81,0,0
2021061310615128,2021-06-13,10615128,Hex Manila,October,3,2016,230,116926, 13:16:46,44,"Pasig City,Metro Manila",1023,20038,1992,4.54,0,0
2021061352314109,2021-06-13,52314109,Ja8thy Clothing Shop,January,14,2018,276,145461, 12:48:36,9,"Taytay,Rizal",1912,159687,5684,4.83,0,0
20210613276428558,2021-06-13,276428558,cottonandbuttons,June,20,2020,47,4650, 10:58:45,47,"Taytay,Rizal",19,2832,95,4.85,0,0
2021061339345649,2021-06-13,39345649,HESTIA  CLOSET ðŸŒ¸,October,19,2017,35,26485, 11:42:04,33,"Navotas City,Metro Manila",70,8608,323,4.84,0,0
2021061341311013,2021-06-13,41311013,BuyMorePh,November,2,2017,346,1126855, 08:25:22,84,"Pasig City,Metro Manila",60527,903333,89238,4.49,0,0
2021061331488555,2021-06-13,31488555,WPFashionBRA,August,21,2017,397,331852, 08:07:02,49,"San Nicolas,Metro Manila",3720,349445,11575,4.83,0,0
20210613281266301,2021-06-13,281266301,clothingpalette.10,July,4,2020,68,78903, 11:01:08,35,"Taytay,Rizal",81,26233,456,4.92,0,0
20210613290377398,2021-06-13,290377398,flowershower.ph,July,29,2020,1103,50379, 11:49:38,95,,129,26195,665,4.88,1,0
20210613275875058,2021-06-13,275875058,small__tomato.ph,June,19,2020,495,81352, 09:56:42,94,,424,19152,1072,4.73,0,0
2021061364909636,2021-06-13,64909636,Women T-shirts & Korean Top,April,13,2018,1306,51019, 11:32:50,94,,561,21261,1244,4.7,1,0
20210613287789175,2021-06-13,287789175,libin888.ph,July,22,2020,278,11416, 11:00:36,95,,66,2963,198,4.71,1,0
20210613262845064,2021-06-13,262845064,weabbyph.ph,May,16,2020,378,40210, 10:10:57,79,,113,9964,361,4.83,0,0
2021061359595030,2021-06-13,59595030,LUSMAY,March,7,2018,854,32168, 11:41:13,75,,344,13062,683,4.72,0,0
20210613174274877,2021-06-13,174274877,Fashion& Girl,August,30,2019,330,23092, 11:45:46,72,"Valenzuela City,Metro Manila",1351,36987,2072,4.69,0,0
2021061362651467,2021-06-13,62651467,shoppingaddicts,March,28,2018,1975,29232, 11:30:22,62,,533,17678,1172,4.68,0,0
20210613199847719,2021-06-13,199847719,cooperneo.ph--women fashion,November,15,2019,271,3225, 09:05:28,100,,76,2004,166,4.61,1,0
2021061329808441,2021-06-13,29808441,ELfille 2.0,August,6,2017,128,21450, 10:40:10,88,"Marikina City,Metro Manila",15,4915,73,4.93,1,0
20210613289787386,2021-06-13,289787386,trendybestshops,July,27,2020,82,7161, 12:45:44,67,"Pasay City,Metro Manila",53,5026,235,4.81,0,0
20210613177084026,2021-06-13,177084026,Maj's Collection,September,8,2019,40,630, 09:30:37,83,"Dasmarinas City,Cavite",1,321,3,4.95,0,0
2021061311314636,2021-06-13,11314636,Lush Tiangge RTW Supplier,October,21,2016,189,29172, 12:06:34,8,"Taytay,Rizal",161,21834,511,4.88,0,0
20210613417317962,2021-06-13,417317962,MEIMEITALL,April,5,2021,472,1004, 09:19:38,94,,5,313,12,4.81,1,0
20210613328923168,2021-06-13,328923168,Women's Top,October,28,2020,101,41, 10:24:59,68,"Makati City,Metro Manila",3,68,1,4.75,0,0
20210613141535018,2021-06-13,141535018,Diya Stand,April,22,2019,305,69987, 12:30:35,66,"San Nicolas,Metro Manila",225,34087,872,4.87,1,0
20210613274192652,2021-06-13,274192652,Kate's Corner,June,14,2020,54,2711, 09:42:10,78,"Santo Tomas,Batangas",6,782,19,4.88,0,0
2021061344323965,2021-06-13,44323965,Ukay Distributor PH,November,20,2017,53,304, 08:54:58,56,"Cainta,Rizal",0,14,0,5.0,0,0
20210613244604039,2021-06-13,244604039,Cherry'sBeauty,April,13,2020,848,44716, 08:38:18,100,,122,10355,421,4.81,1,0
2021061386525247,2021-06-13,86525247,samgartrading,August,28,2018,173,11622, 11:21:03,73,"Pasig City,Metro Manila",142,9780,406,4.72,0,0
2021061368266356,2021-06-13,68266356,DRESS CASUAL,May,6,2018,724,26043, 10:54:52,53,"Binondo,Metro Manila",170,11615,376,4.83,0,0
2021061374965889,2021-06-13,74965889,its.la.mode,June,17,2018,14,2665, 09:30:18,58,"Cainta,Rizal",0,202,2,4.9,0,0
20210613273590933,2021-06-13,273590933,Korean. House,June,12,2020,619,3502, 08:00:13,100,,37,1265,89,4.68,0,0
20210613271800741,2021-06-13,271800741,1989minishop,June,7,2020,120,21583, 12:23:35,62,"Pasay City,Metro Manila",278,19107,943,4.79,0,0
2021061367752782,2021-06-13,67752782,Lucky shopping,May,2,2018,560,313073, 11:17:17,94,"Paranaque City,Metro Manila",20771,601242,37280,4.65,0,0
20210613331790042,2021-06-13,331790042,Crop Top & Korean Top,November,3,2020,681,89372, 11:17:25,99,,160,15753,474,4.85,0,0
20210613401079546,2021-06-13,401079546,Huidong,March,11,2021,22,481, 08:52:37,95,"Sampaloc,Metro Manila",0,149,8,4.78,0,0
20210613352470129,2021-06-13,352470129,Chichi_,December,8,2020,82,1345, 09:06:59,99,"Antipolo City,Rizal",10,1018,30,4.86,0,0
2021061323250659,2021-06-13,23250659,Vida Swimwear,May,24,2017,1177,379504, 11:09:56,89,"Valenzuela City,Metro Manila",3485,431961,12107,4.86,1,0
20210613264590394,2021-06-13,264590394,CLAIRE CLOTHING,May,20,2020,518,192253, 09:39:04,84,"Taytay,Rizal",1424,66907,3262,4.76,0,0
2021061353723999,2021-06-13,53723999,fashion wear 111,January,24,2018,276,7507, 12:41:50,79,"San Nicolas,Metro Manila",108,8795,269,4.84,0,0
2021061336637203,2021-06-13,36637203,terno skirt dress,September,29,2017,150,118274, 10:15:46,76,"San Nicolas,Metro Manila",2419,61937,5221,4.62,1,0
20210613259027993,2021-06-13,259027993,ZIAsPreloved,May,7,2020,382,221, 13:14:25,42,"Paranaque City,Metro Manila",3,424,11,4.88,0,0
20210613133089351,2021-06-13,133089351,goodseller999,March,13,2019,255,1457, 09:55:24,73,"Binondo,Metro Manila",74,2205,197,4.62,0,0
20210613312554902,2021-06-13,312554902,wanru.ph,September,21,2020,1019,952, 10:44:06,72,,10,340,21,4.69,0,0
2021061350106625,2021-06-13,50106625,LGOH.PH,December,28,2017,308,58724, 11:20:03,75,"Pasay City,Metro Manila",502,56164,1498,4.87,0,0
2021061339898577,2021-06-13,39898577,shienacu,October,23,2017,363,46946, 09:48:05,98,"San Nicolas,Metro Manila",322,46936,1102,4.88,0,0
20210613140134509,2021-06-13,140134509,sanshop.ph,April,15,2019,237,3145, 09:06:02,81,"Caloocan City,Metro Manila",23,814,68,4.66,0,0
20210613194667188,2021-06-13,194667188,WSD.ph,November,3,2019,323,4197, 10:18:28,95,"Tondo I / Ii,Metro Manila",133,3102,321,4.56,0,0
20210613254758936,2021-06-13,254758936,Mr.H_Fashion Clothes,April,27,2020,399,16169, 09:47:04,100,,204,2950,305,4.48,0,0
20210613403612075,2021-06-13,403612075,Kaabin,March,15,2021,59,540, 09:28:00,99,,15,247,26,4.52,0,0
20210613289910163,2021-06-13,289910163,Youth time,July,28,2020,387,6813, 08:28:04,99,,61,1045,96,4.54,1,0
2021061352899158,2021-06-13,52899158,shineshop168,January,18,2018,350,5675, 09:49:47,92,"Pasay City,Metro Manila",161,13533,385,4.86,0,0
20210613398300573,2021-06-13,398300573,ATS.shop,March,6,2021,32,124, 12:56:29,16,"Binondo,Metro Manila",8,387,27,4.71,0,0
20210613315439847,2021-06-13,315439847,HY Store,September,28,2020,116,10152, 09:37:05,99,,286,4283,465,4.5,1,0
20210613123995062,2021-06-13,123995062,Anik Shop PH,February,1,2019,72,12840, 12:30:55,50,"Taytay,Rizal",58,8264,217,4.87,0,0
20210613133940798,2021-06-13,133940798,mengyishi,March,17,2019,197,20657, 11:54:58,65,"Valenzuela City,Metro Manila",652,30841,1416,4.77,0,0
20210613114762325,2021-06-13,114762325,Leonora's Boutique For A Cause,December,16,2018,166,47129, 11:32:09,67,"Taytay,Rizal",67,16951,224,4.92,0,0
20210613349628990,2021-06-13,349628990,5ngyzt5ebj,December,3,2020,99,6902, 10:42:00,90,"Pasay City,Metro Manila",126,5062,252,4.75,0,0
2021061326854293,2021-06-13,26854293,BIHU WANG,July,3,2017,1775,46449, 10:46:36,81,"Santa Cruz,Metro Manila",1793,61536,3926,4.68,0,0
20210613405162349,2021-06-13,405162349,Tooyooman,March,17,2021,19,38, 09:48:54,99,,1,8,0,4.56,0,0
20210613452978553,2021-06-13,452978553,Y & T,May,28,2021,23,80, 08:26:28,100,"Pasay City,Metro Manila",0,0,0,,0,0
20210613371422543,2021-06-13,371422543,Mollge,January,11,2021,73,2801, 09:54:54,100,,88,1467,126,4.54,0,0
20210613400651816,2021-06-13,400651816,C&J style Men's,March,10,2021,572,1007, 10:10:24,68,,17,116,19,4.24,0,0
20210613273569988,2021-06-13,273569988,sy1688,June,12,2020,229,8734, 11:20:07,17,"Paranaque City,Metro Manila",456,6662,666,4.5,0,0
2021061339587061,2021-06-13,39587061,wolfzone online shop,October,20,2017,526,32253, 11:21:13,63,"Bacoor,Cavite",1932,43963,3345,4.61,0,0
20210613315447242,2021-06-13,315447242,liwen.ph,September,28,2020,219,749, 08:13:15,93,,32,283,29,4.38,0,0
20210613266644184,2021-06-13,266644184,JUNEtime Shop,May,26,2020,931,32425, 09:18:17,99,,631,15205,1311,4.6,1,0
20210613302250255,2021-06-13,302250255,Zero Tide Hanbok,August,28,2020,747,11616, 08:46:11,96,,128,3757,314,4.63,0,0
2021061351801232,2021-06-13,51801232,DriFIT,January,10,2018,62,15443, 10:43:03,95,"Valenzuela City,Metro Manila",278,22580,796,4.82,0,0
20210613156756973,2021-06-13,156756973,huiluotuo.ph,June,20,2019,383,10123, 11:14:21,80,,322,6228,529,4.57,0,0
2021061349774260,2021-06-13,49774260,Angelfashion.shop,December,26,2017,1093,37108, 10:51:16,57,"Tondo I / Ii,Metro Manila",732,36688,1782,4.76,0,0
20210613414866159,2021-06-13,414866159, Youku Shangyi fashion store,April,1,2021,340,129, 09:13:18,68,,0,8,0,4.88,0,0
20210613268037290,2021-06-13,268037290,AGB.Fashion,May,29,2020,176,11498, 09:43:53,87,"Valenzuela City,Metro Manila",111,13473,428,4.85,0,0
2021061350114777,2021-06-13,50114777,BCUA Lingerie Bra and Panty,December,28,2017,526,110329, 10:40:19,63,"Pasay City,Metro Manila",6074,311559,14262,4.77,0,0
2021061353430392,2021-06-13,53430392,bitsandpieces shop,January,22,2018,382,293, 09:28:13,60,"Taguig City,Metro Manila",0,164,5,4.92,0,0
2021061369635896,2021-06-13,69635896,DD-ONE  Fashion shop,May,16,2018,212,13319, 10:30:23,89,"Pasay City,Metro Manila",152,9573,431,4.8,0,0
2021061364151604,2021-06-13,64151604,HUILISHI MEN'S FASHIONG,April,7,2018,229,32361, 10:09:57,89,"Pasay City,Metro Manila",714,43716,1657,4.8,0,0
2021061347114599,2021-06-13,47114599,Simplediva,December,9,2017,79,34380, 10:10:54,90,"Valenzuela City,Metro Manila",779,62941,2108,4.82,1,0
20210613311167337,2021-06-13,311167337,Korean House,September,18,2020,318,1186, 09:49:57,97,,14,541,43,4.66,0,0
2021061335369989,2021-06-13,35369989,ICM.STORE,September,19,2017,272,58193, 11:53:55,35,"Navotas City,Metro Manila",2400,68481,4270,4.67,0,0
2021061335902344,2021-06-13,35902344,SHOP HUILISHI,September,24,2017,222,57752, 12:32:27,83,"Pasay City,Metro Manila",721,58625,1998,4.82,1,0
20210613262503614,2021-06-13,262503614,juness.ph,May,15,2020,598,26089, 08:55:41,96,,207,7125,550,4.65,0,0
20210613301669184,2021-06-13,301669184,Crown Tshirt,August,27,2020,301,34527, 08:19:55,100,"Quezon City,Metro Manila",74,15589,304,4.9,0,1
20210613328781757,2021-06-13,328781757,Giselle G&G shop,October,28,2020,315,22452, 09:42:13,92,,22,3463,91,4.88,1,0
20210613100571933,2021-06-13,100571933,AT.clothes,November,1,2018,302,6417, 09:41:36,94,,68,4463,169,4.8,0,0
20210613194688134,2021-06-13,194688134,7new.shop,November,3,2019,398,6064, 09:43:17,99,"Tondo I / Ii,Metro Manila",184,5136,448,4.62,0,0
20210613331422352,2021-06-13,331422352,ROSEPARKSHOP,November,2,2020,430,1014, 09:25:42,96,"Binondo,Metro Manila",6,497,25,4.79,0,0
20210613276895504,2021-06-13,276895504,MC.com,June,22,2020,261,26457, 10:33:07,34,"Pasay City,Metro Manila",1220,22394,2265,4.53,0,0
2021061362404318,2021-06-13,62404318,LuckyFashion,March,26,2018,315,230442, 10:16:57,54,"Navotas City,Metro Manila",6536,294768,14530,4.74,0,0
20210613237008067,2021-06-13,237008067,KT Clothing Studio,March,18,2020,2832,66472, 08:46:30,99,,1248,30015,2460,4.59,1,0
20210613331814357,2021-06-13,331814357,Pretty women fashion city,November,3,2020,248,18909, 10:32:53,75,"San Nicolas,Metro Manila",164,5128,411,4.65,1,0
20210613139558229,2021-06-13,139558229,media.ph,April,12,2019,335,43612, 09:08:34,100,"Tondo I / Ii,Metro Manila",1430,31132,2978,4.56,0,0
20210613171344353,2021-06-13,171344353,sky171,August,19,2019,350,4356, 10:52:21,87,"Tondo I / Ii,Metro Manila",174,3728,382,4.56,0,0
2021061350115524,2021-06-13,50115524,Huaerfei Online,December,28,2017,535,155416, 11:14:00,92,"Paranaque City,Metro Manila",7581,178862,12856,4.61,0,0
2021061386411248,2021-06-13,86411248,EMILI-Y & U-VY FASHION,August,27,2018,673,482461, 08:58:06,96,"Las Pinas City,Metro Manila",10544,818211,31608,4.81,0,0
20210613343498159,2021-06-13,343498159,men_clothes.ph,November,23,2020,1178,620, 10:26:29,97,,17,252,25,4.48,0,0
20210613263745732,2021-06-13,263745732,bingjian.ph,May,18,2020,427,25500, 10:27:10,97,,719,10432,1144,4.47,0,0
20210613214411474,2021-06-13,214411474,tantanyf.ph ,December,27,2019,246,26289, 09:28:40,90,,33,3461,82,4.87,0,0
202106136381125,2021-06-13,6381125,somura.ph,June,3,2016,1490,253606, 10:13:44,95,"Quezon City,Metro Manila",1702,200469,5498,4.86,0,0
20210613303372405,2021-06-13,303372405,GDTima2.ph,August,31,2020,645,56539, 10:03:02,97,,217,13693,625,4.78,0,0
20210613365058565,2021-06-13,365058565,LUCKY.HOUSE,December,29,2020,267,667, 13:44:38,43,"Tondo I / Ii,Metro Manila",8,444,15,4.83,0,0
20210613187135110,2021-06-13,187135110,shesgirl.ph Crop top KoreanTop,October,10,2019,1721,59045, 10:55:11,97,,326,16800,494,4.82,0,0
20210613341350505,2021-06-13,341350505,xiaoran.ph,November,19,2020,1142,45406, 09:05:17,99,,45,4822,119,4.87,1,0
20210613258468274,2021-06-13,258468274,MON AMIE PH,May,6,2020,426,142761, 12:05:33,47,"Taytay,Rizal",821,143973,2863,4.9,0,0
2021061345837310,2021-06-13,45837310,superhappybuy.ph,December,1,2017,4601,158604, 11:26:35,92,,2525,92144,5654,4.7,1,0
2021061332632247,2021-06-13,32632247,WALIn shoes ðŸ‘ ,August,30,2017,873,221065, 11:13:46,27,"Binondo,Metro Manila",603,106792,2028,4.9,0,0
20210613347488706,2021-06-13,347488706,X.Y fashion,November,30,2020,443,2525, 09:20:42,99,,29,758,59,4.62,1,0
20210613462140676,2021-06-13,462140676,YULINMM.ph,June,8,2021,109,48, 08:29:42,100,,0,0,0,,0,0
2021061381430775,2021-06-13,81430775,soulya.ph,July,27,2018,427,42677, 11:28:29,82,,61,4773,234,4.77,0,0
2021061349777359,2021-06-13,49777359,Annahong,December,26,2017,176,9880, 13:25:29,1,"Tondo I / Ii,Metro Manila",118,7086,295,4.8,0,0
